Account Code,Account Name,Portal URL,Type,Address
KPKUCUVW,The Ace,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=KPKUCUVW,Regular,"231A Roncesvalles Ave, Toronto, ON"
L2UXYD3C,Pan Pacific Hotel,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=L2UXYD3C,Regular,"900 York Mills Rd, North York, ON"
LAX2DYA3,Veld,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=LAX2DYA3,Live Nation,"40 Carl Hall Rd, North York, ON"
LKK56JUY,Bar Duchess,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=LKK56JUY,Regular,"13 Curtis St Picton, ON"
LSMYDXX6,915 DuPont Cafe,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=LSMYDXX6,Regular,"915 Dupont Street, Toronto, ON"
LZT6A6QV,Cherry St Bar-B-Que,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=LZT6A6QV,Regular,"275 Cherry St, Toronto, ON"
LZUNKM4J,Split Tree,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=LZUNKM4J,Regular,"98 Richmond Rd Unit J, Ottawa, ON"
M28N5CTF,Laughing Buddha,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=M28N5CTF,Regular,"200 Elgin St Suite 190, Sudbury, ON"
M4PKK3WH,Kasa Moto,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=M4PKK3WH,Regular,"115 Yorkville Ave, Toronto, ON"
M88W228G,Cherry's High Dive,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=M88W228G,Regular,"488 Wellington St W, Toronto, ON"
M96CBPVN,Chronicle Brewing Taproom Ltd.,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=M96CBPVN,Regular,"21 Celina St, Oshawa, ON"
MBWBRFMJ,Mrs. Robinson,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=MBWBRFMJ,Regular,"574 College St, Toronto, ON"
MD624ESA,The Local Social House,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=MD624ESA,Regular,"211 Coleman St, Belleville, ON"
MJRWMY67,The Rhino Bar & Grill,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=MJRWMY67,Regular,"874 Queen St w, Toronto, ON"
MLC6VYWR,Dreamland Cafe Inc.,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=MLC6VYWR,Regular,"262 Preston St. Ottawa, ON K1R 7R5"
MTQQEJ2Q,True North Airways,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=MTQQEJ2Q,Regular,"2379 Wahamaa St, Azilda, ON"
MX9HTXP6,La Condesa,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=MX9HTXP6,Regular,"270 Wellington Main St, Wellington, ON"
MXK92ZDV,Mildred's Temple Kitchen,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=MXK92ZDV,Regular,"85 Hanna Avenue, Suit 104, Toronto, ON"
N3PWZR8S,Miku,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=N3PWZR8S,Regular,"105-10 Bay St. Toronto, ON M5J 2R8"
N6E2DZ2H,St. Regis Hotel,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=N6E2DZ2H,Regular,"325 Bay st, Toronto, ON"
